datetime,cart,Record Count,total_price
"Jun 19, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""r3fm6ncdusf"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":0,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""hella"":1}",1,735
"Jun 19, 2021","{""loveislove&babyog,mamaog,cereal"":1}",1,680
"Jun 19, 2021","{""chocpudding-1lb#extraferrero"":1}",1,1793
"Jun 19, 2021","{""hella"":3,""pbj"":3}",1,1085
"Jun 19, 2021","{""hella"":2,""deathchoc"":1,""redvelvet"":1,""soft"":[{""count"":""0"",""price"":270,""quantity"":1,""id"":""8i8vict0rd3"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1,870
"Jun 19, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""l1277wdkav"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""hella"":1,""cupc"":1,""bancheese~s"":1,""banultimate~s"":1,""bannutella~s"":1}",1,1268
"Jun 19, 2021","{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""cafumhxwp27"",""BAE BROWNIE"":9,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Double box of 18""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""nir5xgh7gmb"",""BAE BROWNIE"":4,""FUDGE BROWNIE BITES"":5,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1,1038
"Jun 19, 2021","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""gqzh8g6qn1"",""BAE BROWNIE"":4,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":2,""extra"":"""",""title"":""Small box of 9""}],""chocpudding_slice"":1}",1,676
"Jun 19, 2021","{""carrot-1lb"":1}",1,1696
"Jun 19, 2021","{""deathchoccake-2lb"":1}",1,1596
"Jun 19, 2021","{""candy"":0,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""42xwcr82nu7"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,450
"Jun 19, 2021","{""custom"":[{""title"":""1 lb Banana nutella​*** ตกเเต่งรูป​หัวใจ​สีน้ำเงิน มุกสีขาว ไม่รับ Cherries ค่ะ***"",""price"":2000,""quantity"":1,""id"":""23w32zlvkk8""}],""cereal"":1}",1,2286
"Jun 19, 2021","{""coconut-1lb"":1}",1,1734
"Jun 19, 2021","{""loveislove&babyog,mamaog,candy"":1}",1,687
"Jun 19, 2021","{""heart-S&ganache.pink"":1}",1,580
"Jun 19, 2021","{""loveislove&caramelly"":1}",1,791
"Jun 19, 2021","{""loveislove&doubletrouble,matcha,cereal"":1}",1,737
"Jun 19, 2021","{""loveislove&sexyback,mamaog,candy"":1}",1,675
"Jun 19, 2021","{""hella"":1,""cupc"":1,""deathchoc"":1,""salt"":1}",1,642
"Jun 18, 2021","{""cereal"":1,""hella"":1}",1,354
"Jun 18, 2021","{""chocpudding-1lb"":1}",2,3000
"Jun 18, 2021","{""custom"":[{""title"":""(Cookie cake ) Hella nutella  1lb"",""price"":750,""quantity"":1,""id"":""a2xlnew70aa""}],""salt"":0,""redvelvet"":1,""deathchoc"":1}",1,1131
"Jun 18, 2021","{""loveislove&cornflakes,doubletrouble,cereal"":1}",1,837
"Jun 18, 2021","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""aol33gp5hh6"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""ivmtcw3ifj"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":2,""SEXY BACK"":0,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,947
"Jun 18, 2021","{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""smmewulent"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""dvq10t4c1jc"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""cookie"":[{""count"":""12"",""price"":990,""quantity"":3,""id"":""c23pc5voprg"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1,4210
"Jun 18, 2021","{""chocpudding-1lb"":1,""custom"":[{""title"":""Mama og 1 ชิ้น"",""price"":0,""quantity"":1,""id"":""uy4f6408w6m""}]}",1,1500
